Model name	Machine name	Optimization name	No periods ahead	Runtime (seconds)	RMSE	MAPE	MAE	ME	Best parameters	
SES	2200EVO	GridSearch	1	0.0	29.1206482791464	58.38093108343002	21.97625048640544	-18.522804577518894	0.0298	
SES	8800FCQ, RFID	GridSearch	1	0.0	3.2833314782364837	59.24956751370502	2.877836136379958	-1.5510029322339345	0.01	
SES	TCB & Chameo	GridSearch	1	0.0	1.6184311898985329	300.2611352216221	1.5013056761081105	1.5013056761081105	0.1486	
SES	DB2100	GridSearch	1	0.002	5.787918451395113	20.77922077922078	4.0	2.5000000000000004	0.9999999999999999	
SES	DB2009	GridSearch	1	0.0	1.6965318994669822	36.77231268840449	1.4708925075361796	-0.936443737118339	0.01	
SES	Molding	GridSearch	1	0.0	2.2134052543499823	49.462789117287876	1.7311976191050757	-0.906985434866392	0.08919999999999999	
SES	FCL	GridSearch	1	0.0	5.868734163153603	85.46594974376428	5.1279569846258575	-2.9561903231407176	0.0298	
SES	FSL	GridSearch	1	0.0	0.9128709291752768	125.0	0.8333333333333334	-0.16666666666666666	0.9999999999999999	
SES	Plating	GridSearch	1	0.0	1.7664010532167258	98.03505038913424	1.225438129864178	-0.556130595538671	0.06939999999999999	
SES	2200EVO	Genetic	1	0.138	28.286768518840372	57.0106972961638	21.460455339341657	-17.54505551914283	0.03731094225074117	
SES	8800FCQ, RFID	Genetic	1	0.138	3.2815651267439763	59.227196852742566	2.876749561418925	-1.5472971751355291	0.010041239067645409	
SES	TCB & Chameo	Genetic	1	0.096	1.6134427624145447	299.13301275835687	1.4956650637917843	1.4956650637917843	0.14978634038836428	
SES	DB2100	Genetic	1	0.059	5.787906914362716	20.779536178813316	4.000060714421563	2.5000364268245896	0.999975714467288	
SES	DB2009	Genetic	1	0.058	1.6964836663508653	36.771297955773655	1.470851918230946	-0.9363543850845774	0.010014405346424077	
SES	Molding	Genetic	1	0.075	2.219925532801746	49.58714530871242	1.7355500858049349	-0.9317478835277031	0.08574678142412276	
SES	FCL	Genetic	1	0.072	6.015045513964656	86.8256212478129	5.209537274868775	-3.2795742577399474	0.02281936173911242	
SES	FSL	Genetic	1	0.079	0.9128600958033051	124.99888742949818	0.8333259161966545	-0.16666913907001105	0.9999851655799369	
SES	Plating	Genetic	1	0.066	1.7747492424643787	97.70721070211987	1.2213401337764984	-0.5734412624429737	0.07607237430395679	
SES	2200EVO	GridSearch	3	0.0	20.86007807135096	37.571157495256166	14.142857142857142	-10.000000000000004	0.9999999999999999	
SES	8800FCQ, RFID	GridSearch	3	0.001	3.3184033796954733	59.96087720538633	2.9123854642616216	-1.5774294934390862	0.01	
SES	TCB & Chameo	GridSearch	3	0.0	2.0770994500614033	397.6830323863562	1.9884151619317811	1.9884151619317811	0.06939999999999999	
SES	DB2100	GridSearch	3	0.0	6.530419041417847	33.28048982990066	6.406494292255878	-0.2116639412767567	0.2872	
SES	DB2009	GridSearch	3	0.0	1.6967858530833249	36.823219761661555	1.472928790466462	-0.9681346159762668	0.01	
SES	Molding	GridSearch	3	0.001	1.2031887046091077	27.48008752667095	0.9618030634334832	-0.7567207234489252	0.6436	
SES	FCL	GridSearch	3	0.0	5.904068138684193	86.08992650985847	5.165395590591509	-3.1207320022969633	0.0298	
SES	FSL	GridSearch	3	0.0	0.5194197954660571	61.066673965891695	0.4071111597726113	0.1567630770657418	0.10899999999999999	
SES	Plating	GridSearch	3	0.0	2.0571997084928526	115.83070941272588	1.4478838676590735	-0.9933579277597131	0.8812	
SES	2200EVO	Genetic	3	0.14	20.860078174385833	37.57115801563885	14.14285733874405	-10.000000152356492	0.9999999238217621	
SES	8800FCQ, RFID	Genetic	3	0.136	3.318387328790173	59.96068634105514	2.9123761937083925	-1.5773942053036107	0.010000395881823094	
SES	TCB & Chameo	Genetic	3	0.093	2.086081389943421	399.97460303136626	1.9998730151568314	1.9998730151568314	0.07508443956598872	
SES	DB2100	Genetic	3	0.058	6.543518480689304	33.362186255438964	6.422220854172001	-0.1432986121064408	0.2956816225469303	
SES	DB2009	Genetic	3	0.058	1.6967746187437471	36.82300257485343	1.4729201029941372	-0.9681244465199783	0.01000326682869415	
SES	Molding	Genetic	3	0.074	1.2024051927446096	27.45559943800232	0.9609459803300813	-0.7566562469669876	0.6440677789507945	
SES	FCL	Genetic	3	0.07	6.0542204753730005	87.35837310442315	5.241502386265389	-3.41718242295499	0.022864324870309486	
SES	FSL	Genetic	3	0.071	0.5198077295760819	61.00130954264426	0.4066753969509617	0.15807699350629842	0.10864408180623225	
SES	Plating	Genetic	3	0.06	2.0546536410975214	115.67389855851346	1.4459237319814182	-0.9927790533560884	0.875963835231662	
SES	2200EVO	GridSearch	6	0.0	31.20172626507295	61.68018477832953	23.218183841556904	-20.143461740371368	0.0298	
SES	8800FCQ, RFID	GridSearch	6	0.0	3.3318763630080674	60.163006605760486	2.922203177994081	-1.6104317114140814	0.01	
SES	TCB & Chameo	GridSearch	6	0.001	2.6786054143230915	510.182340961098	2.55091170480549	2.55091170480549	0.2872	
SES	DB2100	GridSearch	6	0.0	6.745222736699038	32.497089731773265	6.2556897733663535	-2.4768707156614775	0.307	
SES	DB2009	GridSearch	6	0.0	1.7894531545885883	37.91794602685703	1.5167178410742812	-0.8516211726125925	0.06939999999999999	
SES	Molding	GridSearch	6	0.0	2.045322953380793	46.641371191585705	1.6324479917054997	-0.9472587525394679	0.10899999999999999	
SES	FCL	GridSearch	6	0.0	5.840413700100337	83.3472723751981	5.000836342511886	-3.176506231468423	0.0298	
SES	FSL	GridSearch	6	0.0	0.6792042702422431	77.0053450928209	0.5133689672854728	0.40280376360770687	0.10899999999999999	
SES	Plating	GridSearch	6	0.0	2.1245850268101028	129.38933950373874	1.6173667437967343	-0.7465141731553475	0.8613999999999999	
SES	2200EVO	Genetic	6	0.133	30.747521521215717	60.873595160886715	22.914560464133785	-19.37952513081533	0.037972319762623295	
SES	8800FCQ, RFID	Genetic	6	0.136	3.3310011323097464	60.15287541154736	2.9217110914180147	-1.6085478062535932	0.010021302791455666	
SES	TCB & Chameo	Genetic	6	0.094	2.6802917942252034	510.988401914445	2.554942009572225	2.554942009572225	0.28351088915618283	
SES	DB2100	Genetic	6	0.059	6.755650901016657	32.456475698917586	6.247871572041636	-2.521881218701835	0.29961699622668087	
SES	DB2009	Genetic	6	0.058	1.7810891244080271	37.83151467519824	1.5132605870079296	-0.860894017691432	0.0634163490369399	
SES	Molding	Genetic	6	0.074	2.0582572696246126	46.86482004013576	1.6402687014047517	-0.9686160165756883	0.105736391479351	
SES	FCL	Genetic	6	0.071	5.950438005047743	84.60886596225875	5.076531957735525	-3.3632958550998064	0.02537802500468104	
SES	FSL	Genetic	6	0.073	0.673196415525043	77.40589596287127	0.5160393064191419	0.3836783540664557	0.11739509741401317	
SES	Plating	Genetic	6	0.06	2.1168439329666735	128.87292832981797	1.6109116041227245	-0.7462187001343832	0.854256212175352	
aDES	2200EVO	GridSearch	1	0.011	23.17287755689847	51.92637920038115	19.546572741857762	-7.5758392410445	0.0298	0.48519999999999996	
aDES	8800FCQ, RFID	GridSearch	1	0.011	2.9307889189643763	52.067635687120294	2.5289994476601287	-1.0685989478852715	0.0496	0.307	
aDES	TCB & Chameo	GridSearch	1	0.007	1.224162209880393	226.45560728042176	1.1322780364021088	-1.048266563329912	0.06939999999999999	0.6634	
aDES	DB2100	GridSearch	1	0.005	5.912734313131179	29.181578606858775	5.617453881820314	1.5453153604145822	0.1288	0.4456	
aDES	DB2009	GridSearch	1	0.004	1.5154333219463054	32.715052335148734	1.3086020934059492	-0.6372741498974107	0.01	0.9999999999999999	
aDES	Molding	GridSearch	1	0.006	3.265187664369454	75.96720934785952	2.6588523271750835	-2.639312975644528	0.0496	0.4456	
aDES	FCL	GridSearch	1	0.006	8.12645987060221	110.00098336635241	6.600059001981145	-6.020886577765945	0.06939999999999999	0.5049999999999999	
aDES	FSL	GridSearch	1	0.005	1.0079599596115123	138.27496055323851	0.9218330703549235	-0.35341443611204754	0.9999999999999999	0.08919999999999999	
aDES	Plating	GridSearch	1	0.004	1.9629099553357527	103.21268953059052	1.2901586191323815	-0.9901916739822778	0.0298	0.6634	
aDES	2200EVO	Genetic	1	0.634	23.435969671437338	50.94048766894783	19.17545500109679	-9.293370531693483	0.035760028882650216	0.40030777248128646	
aDES	8800FCQ, RFID	Genetic	1	0.648	2.740801199572296	49.934983743173674	2.4254134960970073	-0.40435748331824106	0.04006182336540291	0.37144297328773973	
aDES	TCB & Chameo	Genetic	1	0.436	1.0035072921492476	185.41629559941552	0.9270814779970776	-0.757302847448305	0.07795670498893649	0.5992559725750739	
aDES	DB2100	Genetic	1	0.259	5.923380710110953	29.28487878416544	5.637339165951847	1.5178973306423345	0.1304528105766561	0.4437038321177747	
aDES	DB2009	Genetic	1	0.259	1.435639188194648	30.25453316886526	1.2101813267546104	-0.4427375464737253	0.014780084880428696	0.9952381110854908	
aDES	Molding	Genetic	1	0.337	3.3119032869343386	77.02763134479126	2.695967097067694	-2.695967097067694	0.04862784533263982	0.45971386048528223	
aDES	FCL	Genetic	1	0.329	8.393137524946868	112.99948097006077	6.779968858203646	-6.404796314219137	0.061405253442458826	0.5742886305023881	
aDES	FSL	Genetic	1	0.329	1.006677387480418	138.13084014706993	0.9208722676471329	-0.3538186683336922	0.9982296199956756	0.08925883863497339	
aDES	Plating	Genetic	1	0.273	1.9540284748967112	104.24295677876903	1.303036959734613	-0.9743179757389762	0.019190429050245695	0.9958806667845913	
aDES	2200EVO	GridSearch	3	0.011	20.65883318117544	36.89228832557797	13.88731139112828	-8.32555935933446	0.9405999999999999	0.0496	
aDES	8800FCQ, RFID	GridSearch	3	0.011	3.1323441240358374	55.273585948242655	2.684717031771786	-1.216527927925813	0.0496	0.307	
aDES	TCB & Chameo	GridSearch	3	0.007	0.8426615854567232	154.59581221794417	0.7729790610897209	-0.5112146746748775	0.08919999999999999	0.5446	
aDES	DB2100	GridSearch	3	0.004	6.750971106550256	32.567563543293666	6.269255982084031	2.0997989560006136	0.208	0.2476	
aDES	DB2009	GridSearch	3	0.004	1.2806163272540145	26.72249432178497	1.068899772871399	-0.3540070845569291	0.0298	0.6634	
aDES	Molding	GridSearch	3	0.006	2.176829092758207	48.698886294371604	1.7044610203030064	-1.3730152108138969	0.10899999999999999	0.2476	
aDES	FCL	GridSearch	3	0.006	9.201786123636724	127.10473394806733	7.62628403688404	-7.436711858458547	0.06939999999999999	0.5247999999999999	
aDES	FSL	GridSearch	3	0.006	1.8016933912672795	247.95421729539805	1.6530281153026536	-1.6530281153026536	0.1288	0.8812	
aDES	Plating	GridSearch	3	0.005	2.06270532505362	115.67895918439194	1.4459869898048994	-1.0128524618931298	0.8613999999999999	0.01	
aDES	2200EVO	Genetic	3	0.636	20.692968340463263	36.88200857534387	13.883441799433013	-8.354046248428975	0.9441944016632514	0.0519766196159014	
aDES	8800FCQ, RFID	Genetic	3	0.646	2.9410958458523906	53.177397719998226	2.582902174971342	-0.6098782430583477	0.04183459521015261	0.3594180887796177	
aDES	TCB & Chameo	Genetic	3	0.439	1.0181252768659295	179.57672042117804	0.8978836021058902	-0.808302972534866	0.07978951011132292	0.5993899718673185	
aDES	DB2100	Genetic	3	0.258	6.778930651563284	32.53556812669238	6.2630968643882845	2.2084954093562956	0.20959850405036287	0.24108511951297706	
aDES	DB2009	Genetic	3	0.26	1.2979414571450816	27.208075239358852	1.0883230095743541	-0.37251929679531937	0.019357747715684777	0.9955644618552882	
aDES	Molding	Genetic	3	0.34	2.220981842960753	49.79204441394319	1.7427215544880115	-1.4381782440252933	0.10563046468511357	0.2504894148992064	
aDES	FCL	Genetic	3	0.331	8.973424392054202	124.34739431819374	7.460843659091625	-7.096624920602586	0.07703892365583455	0.4834939534805504	
aDES	FSL	Genetic	3	0.335	1.7710826339376466	243.2645045175468	1.6217633634503121	-1.6217633634503121	0.129799747704797	0.8794783323626971	
aDES	Plating	Genetic	3	0.269	2.05819999985931	115.40608506949236	1.4425760633686546	-1.0116817641189049	0.8520086157128226	0.010000279281522948	
aDES	2200EVO	GridSearch	6	0.01	27.950018194845576	57.16711810173996	21.519336599726397	-14.333188346566393	0.0496	0.2872	
aDES	8800FCQ, RFID	GridSearch	6	0.01	3.192218121888481	56.41362629965937	2.740090420269169	-1.5614215810417282	0.0496	0.307	
aDES	TCB & Chameo	GridSearch	6	0.007	2.5597361008024087	403.5057349267137	2.0175286746335686	1.8242803944262826	0.1684	0.34659999999999996	
aDES	DB2100	GridSearch	6	0.005	8.622787877164024	33.815032431930355	6.509393743146593	5.789252721361655	0.01	0.0298	
aDES	DB2009	GridSearch	6	0.004	1.8757832614625944	36.164848276357645	1.4465939310543057	0.15286216471242575	0.0298	0.9802	
aDES	Molding	GridSearch	6	0.006	2.5755099984500167	64.7080998393361	2.2647834943767635	-1.9158352831871965	0.08919999999999999	0.26739999999999997	
aDES	FCL	GridSearch	6	0.006	8.599318923721484	119.29766194459974	7.157859716675985	-7.157859716675985	0.1288	0.34659999999999996	
aDES	FSL	GridSearch	6	0.006	2.2195818644456997	284.0689499290155	1.89379299952677	-1.89379299952677	0.1684	0.7425999999999999	
aDES	Plating	GridSearch	6	0.004	1.8629123293811456	130.83496065720732	1.6354370082150913	-0.5361705527495185	0.2278	0.9999999999999999	
aDES	2200EVO	Genetic	6	0.639	27.46351873193399	56.93860485897712	21.433317686200674	-13.249266930566748	0.04550861343429322	0.313818946337265	
aDES	8800FCQ, RFID	Genetic	6	0.644	3.257706603218104	56.968003105337985	2.767017293687845	-1.7173857783412847	0.051340496542954646	0.2962915608070967	
aDES	TCB & Chameo	Genetic	6	0.43	2.4812370205087215	393.2921474277546	1.9664607371387732	1.7825990591583003	0.15977069015937775	0.37119274978233446	
